epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1263.97,3.55376,6.32655,4.02012,0.00018,0.00244,9e-05,4e-05,3.39025,6.28972,3.55984,3.2328e-05,3.2328e-05,3.2328e-05
2,2485.09,3.20851,6.02685,3.49824,0.00071,0.01008,0.00037,0.00013,3.14271,5.6704,3.20215,6.03937e-05,6.03937e-05,6.03937e-05
3,3671.57,2.96138,5.77167,3.18745,0.00048,0.0184,0.00027,6e-05,3.01462,5.60934,2.99579,8.41914e-05,8.41914e-05,8.41914e-05
4,4874.87,2.77363,5.56188,2.9193,0.00094,0.02887,0.0006,0.00018,2.87325,5.25324,2.83897,7.7794e-05,7.7794e-05,7.7794e-05
5,6071.64,2.62684,5.37372,2.76374,0.00152,0.04672,0.0012,0.00036,2.78418,5.0236,2.73265,7.1392e-05,7.1392e-05,7.1392e-05
